gasoline change in spot,gasoline change in future contract 1,crude oil change in future contract 1,heating oil change in future contract 1
-0.132,-0.072,-0.062,-0.041
-0.075,-0.063,-0.063,-0.034
0.064,0.067,0.066,0.071
0.069,0.07,0.068,0.075
0.069,0.064,0.045,0.06
0.06,0.028,-0.013,-0.042
0.124,0.114,0.038,0.046
0.138,0.133,0.038,0.071
0.03,0.033,-0.019,-0.029
0.011,0.028,-0.070,-0.051
0.022,0.046,0.035,-0.002
0.091,0.131,0.119,0.139
0.019,-0.015,0.011,0.028
0.078,0.076,-0.053,0.014
-0.086,-0.054,0.010,-0.051
0.149,0.171,0.061,0.069
0.025,0.009,-0.043,-0.024
0.014,-0.015,-0.045,-0.026
0.097,0.096,0.041,0.056
-0.025,-0.001,0.040,0.037
-0.109,-0.089,-0.032,-0.044
-0.031,-0.076,0.047,0.068
-0.01,-0.006,0.018,0.01
0.081,0.067,0.052,0.066
-0.002,0.021,0.010,-0.01
0.017,0.004,0.061,0.056
0.019,0.025,0.024,0.027
-0.171,-0.146,0.051,-0.025
-0.067,-0.073,0.008,-0.028
0.007,-0.019,0.036,0.017
-0.102,-0.125,-0.115,-0.103
0.126,0.048,0.003,0.029
-0.095,-0.068,-0.045,-0.027
0.129,0.139,0.066,0.056
-0.015,-0.072,0.072,0.091
0.008,0.026,0.072,0.085
0.071,0.078,0.067,0.047
-0.041,-0.028,-0.017,-0.03
-0.039,-0.05,-0.011,-0.022
0.027,0.029,0.021,0.016
0.121,0.125,0.152,0.118
-0.014,0.014,0.015,0.03
0.163,0.161,0.122,0.138
0.109,0.089,0.052,0.102
-0.063,-0.067,-0.050,-0.038
0.073,0.071,0.080,0.11
-0.144,-0.111,-0.108,-0.063
-0.088,-0.065,-0.090,-0.096
0.055,0.076,0.058,0.061
0.001,0.002,0.005,0.017
0.135,0.112,0.103,0.048
0.059,0.076,0.059,0.059
-0.127,-0.12,-0.083,-0.11
-0.097,-0.098,-0.075,-0.054
-0.018,-0.023,-0.055,-0.06
0.021,0.033,0.045,0.047
-0.062,-0.028,-0.049,-0.048
0.143,0.137,0.120,0.153
0.165,0.136,0.127,0.129
-0.049,-0.045,0.033,0.057
0.014,0.122,0.061,0.088
0.069,0.07,0.143,0.154
-0.169,-0.126,-0.097,-0.003
0.176,0.118,-0.027,-0.013
-0.053,0.002,-0.018,-0.078
0.16,0.08,0.149,0.205
0.144,0.136,0.111,0.1
0.093,0.106,0.084,0.039
-0.075,-0.075,-0.062,-0.091
0.181,0.174,0.182,0.239
0.049,0.064,0.046,0.189
0.142,0.146,0.132,0.196
0.032,0.078,-0.048,-0.093
-0.023,-0.047,-0.008,-0.031
0.113,0.07,0.157,0.177
-0.035,-0.011,-0.009,-0.09
0.023,0.042,0.078,0.031
0.041,0.069,0.115,0.176
-0.065,-0.074,-0.058,-0.055
-0.131,-0.149,-0.112,-0.099
-0.185,-0.213,-0.212,-0.239
0.011,-0.029,-0.045,-0.127
-0.096,-0.11,-0.135,-0.24
-0.033,-0.076,-0.105,-0.136
0.023,0.018,0.028,0.051
0.042,0.089,0.012,0.037
-0.052,-0.258,-0.186,-0.158
0.064,-0.015,-0.130,-0.101
-0.046,-0.216,-0.132,-0.136
-0.218,0.15,0.294,0.212
-0.28,-0.306,-0.308,-0.247
-0.32,-0.348,-0.249,-0.347
-0.125,-0.222,-0.262,-0.219
-0.145,-0.167,-0.153,-0.122
-0.214,-0.133,-0.080,-0.116
-0.138,-0.074,-0.027,0.06
-0.139,-0.108,-0.135,-0.129
-0.156,-0.195,-0.146,-0.158
0.033,0.043,0.025,-0.014
-0.163,-0.125,-0.191,-0.179
-0.048,-0.011,-0.019,-0.078
0.022,0.003,-0.120,-0.04
-0.159,-0.163,-0.040,-0.148
0.082,0.125,0.107,0.087
0.166,0.159,0.048,0.186
0.047,0.019,-0.181,-0.069
0.025,-0.007,0.148,-0.092
0.051,0.048,-0.014,0.031
0.038,0.023,-0.048,-0.077
0.044,0.033,-0.085,-0.026
-0.165,-0.157,0.002,-0.134
0.039,0.087,0.124,0.052
0.074,0.151,0.026,-0.049
-0.026,-0.01,0.058,0.007
0.082,0.094,0.090,0.104
0.088,0.091,0.095,0.172
-0.059,-0.078,-0.075,-0.087
0.055,0.041,0.003,0.026
0.038,0.003,-0.016,0
-0.052,-0.056,-0.031,-0.07
0.01,0.037,0.062,-0.005
0.206,0.183,0.117,0.133
0.075,0.057,0.049,0.015
0.092,0.116,0.062,0.032
0.086,0.092,0.086,0.074
0.052,0.038,0.090,0.185
0.074,0.071,0.065,0.047
0.01,0.013,-0.005,0.004
-0.162,-0.144,-0.042,-0.076
0.017,-0.003,0.012,-0.006
-0.177,-0.187,-0.188,-0.175
-0.001,0.012,-0.005,0.001
0.158,0.158,0.109,0.161
0.061,0.093,0.029,0.03
0.117,0.102,0.107,0.157
-0.052,-0.039,-0.046,-0.021
-0.023,-0.017,0.031,-0.015
-0.005,0.033,0.040,-0.01
-0.083,-0.197,-0.100,-0.121
0.011,-0.024,0.060,0.025
0,0.008,0.011,0.029
-0.132,-0.114,-0.070,-0.067
0.008,-0.001,0.013,0.026
0.07,0.061,0.045,0.055
0.118,0.124,0.116,0.145
0.141,0.14,0.110,0.113
0.002,-0.012,-0.044,-0.051
-0.053,-0.028,0.013,0.03
-0.028,-0.021,-0.020,-0.028
0.04,0.029,0.004,-0.004
-0.026,-0.03,-0.035,-0.052
0.015,0.04,-0.001,0.072
-0.131,-0.121,-0.126,-0.098
-0.017,-0.021,0.006,-0.006
0.069,0.07,0.086,0.047
0.12,0.102,0.087,0.116
0.093,0.1,0.079,0.093
-0.045,-0.047,-0.055,-0.087
-0.069,-0.07,-0.077,-0.109
-0.068,-0.068,-0.066,-0.067
-0.057,0.019,0.013,0.032
0.023,-0.042,-0.016,-0.033
0.123,0.115,0.105,0.101
0.011,0.041,0.025,0.002
0.085,0.142,0.020,0.035
0.027,0.051,0.037,0.036
-0.004,0.001,-0.007,-0.003
-0.032,-0.04,-0.014,-0.022
0.073,0.059,0.058,0.077
0.047,0.028,0.063,0.091
-0.033,-0.012,-0.032,-0.018
-0.01,-0.014,-0.027,-0.027
0.065,0.056,0.018,0.045
-0.105,-0.098,-0.096,-0.051
-0.056,-0.071,-0.125,-0.074
-0.178,-0.176,-0.131,-0.184
-0.021,-0.019,0.055,-0.004
0.045,0.035,0.026,0.059
0.024,0.008,0.012,0.003
0.111,0.102,0.079,0.1
-0.026,-0.007,0.015,0.003
-0.085,-0.075,-0.056,-0.109
0.001,-0.02,-0.014,-0.008
0.018,0.028,0.046,0.039
0.037,0.038,0.034,0.008
-0.001,-0.008,0.010,-0.005
0.074,0.076,0.087,0.154
-0.149,-0.144,-0.086,-0.108
-0.067,-0.08,-0.079,-0.068
-0.023,-0.049,-0.040,-0.019
0.06,0.021,0.021,0.053
0.049,0.034,0.020,0.046
0.01,0.006,0.019,0.034
-0.027,-0.024,-0.017,0.006
0.083,0.078,0.083,0.073
0.159,0.124,0.094,0.091
0.009,0.01,-0.007,-0.015
-0.056,-0.062,-0.018,-0.034
-0.024,0.021,0.019,0.004
0.052,0.042,0.068,0.09
0.068,0.069,0.045,0.076
0.045,-0.022,-0.111,-0.107
-0.029,-0.009,0.011,-0.01
0.101,0.134,0.098,0.115
-0.01,0.012,0.041,0.061
-0.02,-0.015,-0.006,0.007
0.123,0.102,0.045,0.046
-0.022,0.001,0.019,-0.001
0.012,0.017,-0.034,0.002
0.032,0.038,0.036,0.088
-0.01,-0.006,-0.023,0.036
-0.053,-0.056,-0.066,0.001
0.055,0.084,0.081,0.109
0.005,-0.008,-0.095,-0.031
0.04,0.045,-0.032,0.017
0.22,0.167,0.271,0.136
0.133,0.27,0.103,0.153
-0.032,0.034,0.065,0.015
-0.098,-0.096,-0.095,-0.023
0.112,0.122,0.115,0.039
0.126,0.056,0.022,0.006
0.145,0.123,0.100,0.149
0.016,0.024,-0.037,-0.007
0.059,0.042,0.037,-0.018
0.098,0.131,0.073,0.033
-0.131,-0.162,-0.158,-0.159
-0.007,-0.053,-0.131,-0.121
-0.287,-0.25,-0.052,-0.055
0.068,0.083,0.034,0.054
-0.009,0.005,0.024,0.099
-0.025,-0.022,-0.021,0.045
-0.031,-0.024,-0.098,-0.045
-0.129,-0.1,-0.072,-0.179
0.057,0.066,0.021,0.012
0.177,0.107,0.080,0.156
0.07,0.066,-0.009,0.066
-0.004,0.003,0.033,0.008
0.009,0.013,-0.006,-0.003
-0.159,-0.218,-0.168,-0.092
-0.148,-0.155,-0.188,-0.162
0.066,0.087,0.058,0.077
0.055,0.054,-0.006,0.038
0.049,0.034,0.071,0.079
0.026,-0.086,-0.004,-0.012
-0.143,-0.092,0.024,-0.057
-0.116,-0.119,-0.123,-0.075
-0.043,-0.004,-0.055,-0.077
0.075,-0.052,-0.041,-0.025
0.172,0.175,0.139,0.159
-0.11,-0.051,0.027,0.06
-0.028,-0.011,0.135,0.042
-0.041,-0.053,0.020,-0.018
0.016,0.024,0.089,0.093
-0.142,-0.117,0.055,-0.014
-0.029,-0.043,-0.055,-0.138
0.054,0.056,0.070,0.015
0.034,0.042,0.005,-0.04
-0.068,-0.069,-0.096,-0.098
0.071,0.07,0.042,0.011
0.059,0.07,0.048,0.039
0.08,0.082,0.062,0.153
-0.004,-0.003,-0.046,0.005
0.057,0.047,-0.010,-0.045
0.036,0.039,-0.014,0.016
0.043,0.049,-0.039,0.03
0.078,0.077,0.017,0.123
0.037,0.049,0.078,-0.012
0.088,0.093,0.134,0.105
0.061,0.061,0.003,-0.046
-0.131,0.117,-0.029,-0.003
0.074,0.05,-0.004,0.024
0.102,0.029,0.012,-0.035
0.088,0.039,-0.036,-0.024
0.054,-0.039,-0.038,0.005
-0.083,-0.054,-0.023,-0.063
-0.124,-0.109,0.012,-0.014
-0.064,-0.022,0.025,0.036
-0.104,-0.101,-0.014,-0.041
-0.053,-0.076,-0.154,-0.136
-0.058,-0.083,-0.092,-0.096
-0.048,-0.014,-0.047,-0.051
-0.113,-0.092,-0.096,-0.116
-0.031,-0.129,-0.063,-0.067
-0.011,-0.015,-0.027,-0.026
-0.137,-0.065,-0.045,-0.048
-0.02,0.048,-0.027,0.011
0.149,0.056,0.130,0.137
0.105,0.073,0.000,0.03
0.051,0.113,0.108,0.126
-0.109,-0.053,-0.031,-0.035
0.126,0.057,0.001,0.021
0.15,0.083,0.096,0.134
0.015,0.057,0.032,0.067
0.039,0.042,0.049,0.047
0.105,0.035,-0.019,0.01
0.098,-0.136,-0.001,0.011
0.091,0.031,0.047,0.065
-0.201,-0.106,-0.092,-0.093
0.229,0.187,-0.054,0.017
-0.129,-0.193,-0.015,0.006
-0.071,0.035,0.013,0.074
-0.266,-0.148,0.006,-0.024
-0.18,-0.138,-0.118,-0.12
0.013,0.045,-0.019,-0.014
0.08,-0.048,0.003,-0.058
0.111,0.04,-0.003,-0.01
-0.103,0.057,0.049,0.084
-0.029,0.008,-0.006,-0.037
-0.108,-0.098,-0.004,-0.047
-0.036,-0.026,-0.033,-0.039
0.11,0.092,0.060,0.071
0.072,0.081,0.039,0.029
-0.013,-0.005,0.058,-0.009
-0.005,-0.015,0.015,0.011
-0.039,-0.028,0.028,-0.016
0.11,0.102,0.031,0.043
0.152,0.154,0.038,0.044
0.025,0.024,-0.030,0.078
0.031,0.043,0.018,0.03
0.004,0.002,-0.064,-0.09
-0.1,-0.086,-0.048,-0.13
-0.079,0.152,-0.030,-0.04
-0.004,0.01,0.041,-0.022
-0.034,-0.065,0.007,-0.049
0.036,0.014,0.077,0.004
-0.153,-0.135,-0.031,0.109
-0.081,-0.094,-0.036,-0.079
0.014,-0.111,-0.129,-0.14
0,0.018,0.077,0.066
0.008,0.014,0.060,0.008
0.068,0.069,0.058,0.06
0.01,0.003,-0.029,-0.023
-0.03,-0.015,0.003,-0.004
-0.04,-0.036,-0.040,-0.041
0.045,0.018,0.020,0.011
0.034,0.018,0.049,0.044
-0.017,-0.013,0.010,0.012
-0.114,-0.095,-0.019,-0.053
0.092,0.074,0.109,0.062
0.188,0.179,0.102,0.069
0.08,0.123,0.052,0.069
-0.08,-0.07,-0.025,-0.021
0.028,-0.026,-0.010,0.001
-0.097,-0.119,-0.009,-0.052
0.061,0.055,0.043,0.059
0.02,-0.002,-0.035,0.024
0.035,0.079,0.067,0.077
-0.049,-0.178,0.009,-0.008
-0.109,-0.098,-0.010,-0.05
-0.055,-0.057,-0.048,-0.075
-0.057,-0.033,-0.075,-0.045
-0.042,-0.043,0.001,0.007
0.036,0.025,-0.012,0.049
0.016,0.021,-0.027,-0.01
-0.065,-0.07,-0.088,-0.075
-0.003,0.014,-0.020,0.003
-0.066,-0.084,-0.062,-0.087
0.107,0.1,-0.009,0.038
0.03,0.056,0.002,0.064
-0.018,0.004,-0.019,0.078
0.02,0.022,0.077,0.012
-0.062,-0.055,0.025,-0.054
0.049,0.045,0.015,0.012
0.109,0.106,0.033,0.075
-0.07,-0.079,-0.065,-0.069
-0.068,-0.07,-0.096,-0.078
-0.049,-0.039,0.015,0.029
0.051,0.036,0.072,0.096
-0.012,-0.016,0.020,0.111
0.016,0.017,0.012,-0.171
0.107,0.108,0.059,0.023
0.081,0.069,0.060,0.101
-0.048,-0.037,-0.006,-0.032
-0.022,0.176,0.008,-0.077
-0.018,-0.02,-0.084,-0.079
-0.069,-0.062,0.004,-0.033
-0.023,0.022,0.024,0.022
0.01,-0.015,0.002,-0.032
0.177,0.089,0.054,0.03
